timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1593785848873,110,uu,200,OK,ipokemon 1-26,text,true,,153,644,60,60,http://192.168.0.103:8000/uu,110,0,49
1593785848874,110,upm,200,OK,ipokemon 1-23,text,true,,153,2038,60,60,http://192.168.0.103:8000/upm,110,0,49
1593785848873,112,mas/CN,200,OK,ipokemon 1-12,text,true,,2013,323,60,60,http://192.168.0.103:8000/mas/CN,112,0,45
1593785848873,67,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-11,text,false,,2467,0,55,55,http://192.168.0.103:8000/upm,0,0,51
1593785848873,92,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-35,text,false,,2467,0,58,58,http://192.168.0.103:8000/uu,0,0,55
1593785848873,92,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-28,text,false,,2467,0,58,58,http://192.168.0.103:8000/uu,0,0,56
1593785848872,93,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-3,text,false,,2467,0,58,58,http://192.168.0.103:8000/uu,0,0,57
1593785848899,66,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-46,text,false,,2467,0,58,58,http://192.168.0.103:8000/uu,0,0,30
1593785848872,99,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-16,text,false,,2467,0,58,58,http://192.168.0.103:8000/uu,0,0,57
1593785848873,97,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-30,text,false,,2467,0,58,58,http://192.168.0.103:8000/uu,0,0,56
1593785848873,97,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-13,text,false,,2467,0,58,58,http://192.168.0.103:8000/upm,0,0,56
1593785848874,66,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-34,text,false,,2467,0,55,55,http://192.168.0.103:8000/uu,0,0,49
1593785848873,92,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-38,text,false,,2467,0,55,55,http://192.168.0.103:8000/uu,0,0,56
1593785848872,97,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-6,text,false,,2467,0,58,58,http://192.168.0.103:8000/upm,0,0,56
1593785848872,98,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-29,text,false,,2467,0,58,58,http://192.168.0.103:8000/uu,0,0,57
1593785848873,96,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-36,text,false,,2467,0,58,58,http://192.168.0.103:8000/upm,0,0,56
1593785848892,48,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-42,text,false,,2467,0,58,58,http://192.168.0.103:8000/upm,0,0,36
1593785848874,91,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-14,text,false,,2467,0,55,55,http://192.168.0.103:8000/uu,0,0,55
1593785848881,84,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-41,text,false,,2467,0,55,55,http://192.168.0.103:8000/uu,0,0,49
1593785848874,129,upm,200,OK,ipokemon 1-1,text,true,,153,1312,64,64,http://192.168.0.103:8000/upm,129,0,49
1593785848897,114,pma/1,200,OK,ipokemon 1-44,text,true,,766,322,67,67,http://192.168.0.103:8000/pma/1,113,0,26
1593785848901,119,pma/7,200,OK,ipokemon 1-47,text,true,,766,322,72,72,http://192.168.0.103:8000/pma/7,119,0,22
1593785848873,160,uu,200,OK,ipokemon 1-25,text,true,,153,729,76,76,http://192.168.0.103:8000/uu,160,0,51
1593785848968,74,pma/7,200,OK,ipokemon 1-58,text,true,,766,322,80,80,http://192.168.0.103:8000/pma/7,74,0,3
1593785848972,78,pma/7,200,OK,ipokemon 1-56,text,true,,766,322,85,85,http://192.168.0.103:8000/pma/7,78,0,6
1593785848982,83,uu,200,OK,ipokemon 1-59,text,true,,153,644,94,94,http://192.168.0.103:8000/uu,83,0,6
1593785849000,70,pma/7,200,OK,ipokemon 1-14,text,true,,766,322,94,94,http://192.168.0.103:8000/pma/7,69,0,3
1593785849009,67,ur,200,OK,ipokemon 1-67,text,true,,153,647,99,99,http://192.168.0.103:8000/ur,67,0,4
1593785849000,84,uu,200,OK,ipokemon 1-41,text,true,,153,735,103,103,http://192.168.0.103:8000/uu,84,0,3
1593785849076,8,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-67,text,false,,2467,0,103,103,http://192.168.0.103:8000/uu,0,0,4
1593785849028,63,mas/CN,200,OK,ipokemon 1-76,text,true,,2013,323,106,106,http://192.168.0.103:8000/mas/CN,61,0,6
1593785849019,94,uu,200,OK,ipokemon 1-72,text,true,,153,894,117,117,http://192.168.0.103:8000/uu,94,0,4
1593785849039,100,upm,200,OK,ipokemon 1-79,text,true,,153,2659,119,119,http://192.168.0.103:8000/upm,100,0,6
1593785849061,78,upm,200,OK,ipokemon 1-91,text,true,,153,2005,119,119,http://192.168.0.103:8000/upm,78,0,4
1593785849106,33,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-113,text,false,,2467,0,119,119,http://192.168.0.103:8000/upm,0,0,9
1593785849105,34,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-112,text,false,,2467,0,119,119,http://192.168.0.103:8000/upm,0,0,10
1593785849062,84,pma/1,200,OK,ipokemon 1-92,text,true,,766,322,119,119,http://192.168.0.103:8000/pma/1,84,0,3
1593785849094,45,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-108,text,false,,2467,0,119,119,http://192.168.0.103:8000/uu,0,0,19
1593785849075,78,pd,200,OK,ipokemon 1-97,text,true,,655,319,123,123,http://192.168.0.103:8000/pd,78,0,2
1593785849086,76,uu,200,OK,ipokemon 1-67,text,true,,153,717,126,126,http://192.168.0.103:8000/uu,76,0,3
1593785849075,98,upm,200,OK,ipokemon 1-98,text,true,,153,2495,131,131,http://192.168.0.103:8000/upm,98,0,4
1593785849091,94,upm,200,OK,ipokemon 1-76,text,true,,153,2644,136,136,http://192.168.0.103:8000/upm,94,0,19
1593785849139,54,uu,200,OK,ipokemon 1-91,text,true,,153,717,142,142,http://192.168.0.103:8000/uu,54,0,6
1593785849186,9,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-137,text,false,,2467,0,142,142,http://192.168.0.103:8000/uu,0,0,4
1593785848873,325,pma/23,200,OK,ipokemon 1-31,text,true,,766,323,145,145,http://192.168.0.103:8000/pma/23,325,0,51
1593785848873,331,pma/1,200,OK,ipokemon 1-18,text,true,,766,322,146,146,http://192.168.0.103:8000/pma/1,331,0,50
1593785848873,335,pma/7,200,OK,ipokemon 1-37,text,true,,766,322,149,149,http://192.168.0.103:8000/pma/7,335,0,50
1593785849098,299,uu,200,OK,ipokemon 1-110,text,true,,153,890,250,250,http://192.168.0.103:8000/uu,299,0,17
1593785849172,233,upm,200,OK,ipokemon 1-131,text,true,,153,1983,250,250,http://192.168.0.103:8000/upm,233,0,3
1593785849185,229,uu,200,OK,ipokemon 1-76,text,true,,153,810,250,250,http://192.168.0.103:8000/uu,229,0,3
1593785849185,238,pd,200,OK,ipokemon 1-136,text,true,,655,319,250,250,http://192.168.0.103:8000/pd,238,0,4
1593785849173,259,upm,200,OK,ipokemon 1-98,text,true,,153,1972,250,250,http://192.168.0.103:8000/upm,259,0,4
1593785849204,240,uu,200,OK,ipokemon 1-18,text,true,,153,720,250,250,http://192.168.0.103:8000/uu,240,0,3
1593785849205,248,u,200,OK,ipokemon 1-147,text,true,,408,318,250,250,http://192.168.0.103:8000/u,248,0,3
1593785849394,66,pma/7,200,OK,ipokemon 1-249,text,true,,766,322,250,250,http://192.168.0.103:8000/pma/7,66,0,4
1593785849396,244,uu,200,OK,ipokemon 1-250,text,true,,153,738,250,250,http://192.168.0.103:8000/uu,244,0,4
1593785849424,228,uu,200,OK,ipokemon 1-136,text,true,,153,711,250,250,http://192.168.0.103:8000/uu,228,0,2
1593785849432,224,pma/4,200,OK,ipokemon 1-98,text,true,,766,322,250,250,http://192.168.0.103:8000/pma/4,224,0,3
1593785849000,665,pma/4,200,OK,ipokemon 1-63,text,true,,766,322,250,250,http://192.168.0.103:8000/pma/4,665,0,5
1593785849011,658,pma/7,200,OK,ipokemon 1-44,text,true,,766,322,250,250,http://192.168.0.103:8000/pma/7,658,0,3
