label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
cu,0.03100,0.06000,0.06200,153,5,0,0.00000,1,1,0.06200,0.06200,0.06200,0.06200,0.06200,0.06200,0.06200,1
,0.00867,0.04106,0.04128,7293,5,0,0.05121,18,18,0.01400,0.02600,0.06200,0.24600,0.24600,0.24600,0.24600,18
pma/1,0.00500,0.01800,0.01800,766,5,0,0.00000,1,1,0.01800,0.01800,0.01800,0.01800,0.01800,0.01800,0.01800,1
uu,0.00475,0.02700,0.02725,612,5,0,0.00349,4,4,0.02400,0.02500,0.03300,0.03300,0.03300,0.03300,0.03300,4
pma/4,0.00400,0.01500,0.01500,766,5,0,0.00000,1,1,0.01500,0.01500,0.01500,0.01500,0.01500,0.01500,0.01500,1
mas/CN,0.00300,0.01400,0.01400,2013,5,0,0.00000,1,1,0.01400,0.01400,0.01400,0.01400,0.01400,0.01400,0.01400,1
wpm,0.00550,0.02700,0.02750,378,5,0,0.00150,2,2,0.02600,0.02600,0.02900,0.02900,0.02900,0.02900,0.02900,2
upm,0.00667,0.03367,0.03367,459,5,0,0.00125,3,3,0.03200,0.03400,0.03500,0.03500,0.03500,0.03500,0.03500,3
id,0.00800,0.02300,0.02300,161,5,0,0.00000,1,1,0.02300,0.02300,0.02300,0.02300,0.02300,0.02300,0.02300,1
pd,0.00300,0.02600,0.02600,656,5,0,0.00000,1,1,0.02600,0.02600,0.02600,0.02600,0.02600,0.02600,0.02600,1
pma/7,0.00500,0.01600,0.01600,766,5,0,0.00000,1,1,0.01600,0.01600,0.01600,0.01600,0.01600,0.01600,0.01600,1
u,0.03700,0.05800,0.05800,410,5,0,0.00000,1,1,0.05800,0.05800,0.05800,0.05800,0.05800,0.05800,0.05800,1
ur,0.01000,0.24600,0.24600,153,5,0,0.00000,1,1,0.24600,0.24600,0.24600,0.24600,0.24600,0.24600,0.24600,1
